Label,Easting,Northing,Height,Accuracy_horizontal,Accuracy_Vertical
StkdT_12389,351339.5035,512979.4758,264.6797,0.00475,0.00475,0.0107
StkdT_12388,351339.2104,513050.6811,265.9339,0.0038,0.0038,0.0082
StkdT_12387,351213.7483,512973.6016,264.2064,0.00435,0.00435,0.009
StkdT_12319,351277.9749,512857.9067,264.1708,0.0039,0.0039,0.0076
StkdT_12383,351215.9289,512842.218,263.818,0.00385,0.00385,0.0073
StkdT_12382,351216.8362,512911.763,263.823,0.0043,0.0043,0.0082
StkdT_12320,351279.7807,513017.1434,265.6341,0.00495,0.00495,0.009
StkdT_12381,351276.8644,512946.8135,263.6397,0.0049,0.0049,0.0093
StkdT_12378,351392.4394,512941.3966,268.8984,0.007,0.007,0.0151
StkdT_12379,351336.422242663,512913.611386971,270.694015399117,0.0059,0.0059,0.013
StkdT_12380,351334.0623,512869.856,265.2801,0.008,0.008,0.0175
StkdT_12303,351396.9209,512896.8447,268.9421,0.00505,0.00505,0.0111
StkdT_12375,351275.0544,512822.3725,264.7686,0.00905,0.00905,0.0205
StkdT_12376,351228.5797,512786.2517,264.8728,0.00765,0.00765,0.0179
StkdT_12386,351098.6926,512844.608,264.2462,0.0038,0.0038,0.0094
StkdT_12385,351139.7462,512875.7537,264.3243,0.00445,0.00445,0.0107
StkdT_12384,351151.3014,512934.8902,264.5266,0.0042,0.0042,0.01
StkdT_12371,351034.5909,512805.5356,264.7906,0.00395,0.00395,0.0082
StkdT_12317,350974.5659,512771.4565,264.8141,0.004,0.004,0.008
StkdT_12362,350915.5423,512667.3952,265.4401,0.0041,0.0041,0.0078
StkdT_12316,350964.7669,512638.5739,265.6938,0.00445,0.00445,0.0082
StkdT_12369,350973.3229,512700.3498,265.1915,0.0048,0.0048,0.0087
StkdT_12373,351033.6464,512737.7114,265.1048,0.00435,0.00435,0.0078
StkdT_12318,351095.2521,512770.4325,264.9854,0.00425,0.00425,0.0074
StkdT_12370,351155.8294,512805.2823,264.434,0.00425,0.00425,0.0074
StkdT_12372,351153.9232,512735.5016,265.0946,0.0111,0.0111,0.0191
StkdT_12374,351094.4564,512700.6114,264.5687,0.0058,0.0058,0.0103
StkdT_12360,351034.9545,512666.5486,265.2167,0.0057,0.0057,0.0107
StkdT_12361,351028.2145,512619.1036,266.0281,0.0064,0.0064,0.0137
StkdT_12364,350973.1824,512575.2414,267.6546,0.0055,0.0055,0.0116
StkdT_12363,350913.3115,512596.7198,266.0958,0.00365,0.00365,0.0091
